frame,class,confidence,x1,y1,x2,y2,width_px,height_px,area_px2
797,UAV,0.1651,572.2,238.4,599.8,265.6,27.5,27.2,749.4
797,UAV,0.1548,394.5,293.0,437.0,328.5,42.5,35.5,1508.8
798,UAV,0.4571,327.0,324.9,379.5,361.1,52.5,36.2,1903.1
798,UAV,0.1605,394.5,293.0,437.0,328.5,42.5,35.5,1508.8
798,UAV,0.1538,572.2,238.4,599.8,265.6,27.5,27.2,749.4
799,UAV,0.4523,327.0,324.9,379.5,361.1,52.5,36.2,1903.1
799,UAV,0.1595,394.5,293.0,437.0,328.5,42.5,35.5,1508.8
799,UAV,0.1561,572.2,238.4,599.8,265.6,27.5,27.2,749.4
800,UAV,0.4776,327.1,325.0,379.9,361.0,52.8,36.0,1899.0
800,UAV,0.1543,394.5,293.0,437.0,328.5,42.5,35.5,1508.8
800,UAV,0.1513,572.2,238.4,599.8,265.6,27.5,27.2,749.4
801,UAV,0.4542,327.2,325.0,379.8,361.0,52.5,36.0,1890.0
801,UAV,0.1571,394.5,293.0,437.0,328.5,42.5,35.5,1508.8
802,UAV,0.4630,327.2,325.0,379.8,361.0,52.5,36.0,1890.0
802,UAV,0.1611,394.5,293.0,437.0,328.5,42.5,35.5,1508.8
803,UAV,0.4484,327.2,324.9,379.8,361.1,52.5,36.2,1903.1
803,UAV,0.1569,394.5,292.9,437.0,328.1,42.5,35.2,1498.1
803,UAV,0.1508,572.2,238.4,599.8,265.6,27.5,27.2,749.4
804,UAV,0.4484,326.6,324.1,380.4,360.9,53.8,36.8,1975.3
804,UAV,0.3594,395.5,293.1,437.0,327.9,41.5,34.8,1442.1
805,UAV,0.5215,326.5,324.1,380.5,360.9,54.0,36.8,1984.5
805,UAV,0.3702,395.5,293.0,437.0,328.0,41.5,35.0,1452.5
806,UAV,0.4805,326.6,324.1,380.4,360.9,53.8,36.8,1975.3
806,UAV,0.3451,395.5,293.0,437.0,328.0,41.5,35.0,1452.5
807,UAV,0.4388,326.6,324.1,380.4,360.9,53.8,36.8,1975.3
807,UAV,0.3099,395.5,292.9,437.0,328.1,41.5,35.2,1462.9
808,UAV,0.4225,326.2,324.0,380.2,361.0,54.0,37.0,1998.0
808,UAV,0.2958,395.5,293.0,437.0,328.0,41.5,35.0,1452.5
809,UAV,0.4388,326.2,324.0,380.2,361.0,54.0,37.0,1998.0
809,UAV,0.2999,395.5,293.0,437.0,328.0,41.5,35.0,1452.5
810,UAV,0.4533,326.2,324.0,380.2,361.0,54.0,37.0,1998.0
810,UAV,0.2967,395.0,293.0,437.0,328.0,42.0,35.0,1470.0
811,UAV,0.4397,326.2,324.0,380.2,361.0,54.0,37.0,1998.0
811,UAV,0.2926,395.0,293.0,437.0,328.0,42.0,35.0,1470.0
812,UAV,0.4446,326.2,324.0,380.2,361.0,54.0,37.0,1998.0
812,UAV,0.3057,395.0,293.0,437.0,328.0,42.0,35.0,1470.0
813,UAV,0.4465,326.2,324.0,380.2,361.0,54.0,37.0,1998.0
813,UAV,0.3065,395.0,293.0,437.0,328.0,42.0,35.0,1470.0
814,UAV,0.4465,326.2,324.0,380.2,361.0,54.0,37.0,1998.0
814,UAV,0.3074,395.0,293.0,437.0,328.0,42.0,35.0,1470.0
815,UAV,0.4465,326.2,324.0,380.2,361.0,54.0,37.0,1998.0
815,UAV,0.3065,395.0,293.0,437.0,328.0,42.0,35.0,1470.0
816,UAV,0.3594,326.4,324.5,379.6,361.0,53.2,36.5,1943.6
816,UAV,0.2666,395.2,292.9,436.8,328.1,41.5,35.2,1462.9
817,UAV,0.3877,326.1,324.2,378.9,361.2,52.8,37.0,1951.8
817,UAV,0.2736,395.2,292.9,436.8,328.1,41.5,35.2,1462.9
818,UAV,0.3576,326.1,324.2,378.9,361.2,52.8,37.0,1951.8
818,UAV,0.2583,395.1,292.9,436.9,328.1,41.8,35.2,1471.7
818,UAV,0.2316,573.0,238.2,601.0,265.8,28.0,27.5,770.0
819,UAV,0.3495,326.1,324.2,378.9,361.2,52.8,37.0,1951.8
819,UAV,0.2621,395.1,293.0,436.9,328.5,41.8,35.5,1482.1
819,UAV,0.2254,573.0,238.2,601.0,265.8,28.0,27.5,770.0
820,UAV,0.3720,326.1,324.2,378.9,361.2,52.8,37.0,1951.8
820,UAV,0.2705,395.1,292.9,436.9,328.1,41.8,35.2,1471.7
821,UAV,0.3594,326.0,324.2,379.0,361.2,53.0,37.0,1961.0
821,UAV,0.2682,395.1,293.0,436.9,328.5,41.8,35.5,1482.1
821,UAV,0.1508,573.0,238.2,601.0,265.8,28.0,27.5,770.0
822,UAV,0.4083,326.1,324.2,378.9,361.2,52.8,37.0,1951.8
822,UAV,0.3268,395.1,292.9,436.9,328.1,41.8,35.2,1471.7
